OSM_ID,Name,UN,UN+,TCC,Region,Lon,Lat
R226224,"Zagreb",HR,HR,HR,HR:C,15.9771774,45.8131847
R8796464,"Grad Dubrovnik",HR,HR,HR,HR:D,18.0924947,42.6502473
R11153757,"Split",HR,HR,HR,HR:D,16.4399659,43.5116383
N5715309398,"Mostar",BA,BA,BA:0,BA-BIH,17.8076584,43.3435855
N89090688,"Jablanica",BA,BA,BA:0,BA-BIH,17.7618471,43.6617485
R2187904,"Herceg Novi",ME,ME,ME,ME:R,18.5367516,42.4517622
R1675898,"Ljubljana",SI,SI,SI,SI,14.5069289,46.0500268
R179180,"Triest",IT,IT,IT:0,IT-36,13.7772781,45.6496485
R44741,"Venice",IT,IT,IT:0,IT-34,12.3345898,45.4371908
R109166,"Vienna",AT,AT,AT,AT-9,16.3725042,48.2083537
R1491393,"Sopron",HU,HU,HU,HU2,16.5983457,47.6803063
R1244004,"Budapest",HU,HU,HU,HU1,19.0402383,47.4978789
R86708,"Linz",AT,AT,AT,AT-4,14.286198,48.3059078
R86538,"Salzburg",AT,AT,AT,AT-5,13.0464806,47.7981346
R34719,"Graz",AT,AT,AT,AT-6,15.4382786,47.0708678
R1702499,"Bratislava",SK,SK,SK,SK:W,17.108279,48.1435149
R435514,"Prague",CZ,CZ,CZ,CZ:B,14.4212535,50.0874654
R71525,"Paris",FR,FR,FR:0,FR-J,2.3483915,48.8534951
R158311,"Beauvais",FR,FR,FR:0,FR-S,2.0823355,49.4300997
N13707878,"Copenhagen",DK,DK,DK,DK-84,12.5700724,55.6867243
R10663667,"Malmo",SE,SE,SE,SE3,13.0001566,55.6052931
N15412058,"Helsingborg",SE,SE,SE,SE3,12.703706,56.0442098
N21040320,"Elsinore",DK,DK,DK,DK-84,12.6130073,56.0348739
N25929985,"Stockholm",SE,SE,SE,SE2,18.0710935,59.3251172
R3226004,"Xi'an",CN,CN,CN:0,CN-SN,108.9350839,34.3430507
R3246491,"Luoyang",CN,CN,CN:0,CN-HA,112.4477046,34.6196539
N5073683362,"Ordos",CN,CN,CN:0,CN-NM,109.7763659,39.6081457
R3020001,"Yan'an",CN,CN,CN:0,CN-SN,109.4828549,36.5853932
R3226094,"Lintong",CN,CN,CN:0,CN-SN,109.2092937,34.3684448
R3028617,"Huayin",CN,CN,CN:0,CN-SN,110.0920915,34.5675163
N778910398,"Shanghai",CN,CN,CN:0,CN-SH,121.4691024,31.2323437
R4430941,"Suzhou",CN,CN,CN:0,CN-JS,120.5810725,31.3016935
R2784613,"Haikou",CN,CN,CN-HI,CN-HI,110.1956502,20.0462328
R2128284,"Sanya",CN,CN,CN-HI,CN-HI,109.5034392,18.2534658
N244076812,"Beihai",CN,CN,CN:0,CN-GX,109.1165772,21.4845174
R3471982,"Guilin",CN,CN,CN:0,CN-GX,110.1750728,25.238704
R2782246,"Guiyang",CN,CN,CN:0,CN-GZ,106.6246178,26.6499922
N244078540,"Zhangjiajie",CN,CN,CN:0,CN-HN,110.4741428,29.1176794
R3307448,"Weihai",CN,CN,CN:0,CN-SD,122.1152599,37.5120997
R3307447,"Rongcheng",CN,CN,CN:0,CN-SD,122.482296,37.1649467
N11793713272,"东楮岛社区",CN,CN,CN:0,CN-SD,122.5588417,37.0407912
N2280261249,"Dalian",CN,CN,CN:0,CN-LN,121.6282945,38.9181714
N25248662,"Beijing",CN,CN,CN:0,CN-BJ,116.3912972,39.9057136
R2707420,"Dunhuang",CN,CN,CN:0,CN-GS,94.6607593,40.1411004
R2775778,"Nanning",CN,CN,CN:0,CN-GX,108.3627211,22.8193063
R6571629,"Dallas",US,US,US:0,US-TX,-96.7968559,32.7762719
R113870,"Waco",US,US,US:0,US-TX,-97.1466695,31.549333
R113314,"Austin",US,US,US:0,US-TX,-97.7436995,30.2711286
R253556,"San Antonio",US,US,US:0,US-TX,-98.4951405,29.4246002
R6587521,"South Padre Island",US,US,US:0,US-TX,-97.1646938,26.1036887
R253988,"Corpus Christi",US,US,US:0,US-TX,-97.4033191,27.7635302
R114559,"Galveston",US,US,US:0,US-TX,-94.7945882,29.299328
R2688911,"Houston",US,US,US:0,US-TX,-95.3676974,29.7589382
N151365024,"Port Bolivar",US,US,US:0,US,-94.7645679,29.3799791
R115274,"Fort Worth",US,US,US:0,US-TX,-97.3327459,32.753177
R115280,"Denton",US,US,US:0,US-TX,-97.1330516,33.2150386
R185048,"Oklahoma City",US,US,US:0,US-OK,-97.5170536,35.4729886
R111147,"Little Rock",US,US,US:0,US-AR,-92.2896267,34.7465071
R122950,"East Saint Louis",US,US,US:0,US-IL,-90.14629,38.6133731
R122604,"Chicago",US,US,US:0,US-IL,-87.6244212,41.8755616
R123419,"Evanston",US,US,US:0,US-IL,-87.6930459,42.0447388
N153597687,"Strawtown",US,US,US:0,US-IN,-85.9444271,40.1233709
R1839555,"Lenox",US,US,US:0,US-MA,-73.2721461,42.3711232
R2315704,"Boston",US,US,US:0,US-MA,-71.060511,42.3554334
R175905,"New York",US,US,US:0,US-NY,-74.0060152,40.7127281
R170330,"Atlantic City",US,US,US:0,US-NJ,-74.4229351,39.3642852
R188022,"Philadelphia",US,US,US:0,US-PA,-75.1635262,39.9527237
R113919,"El Paso",US,US,US:0,US-TX,-106.441207,31.7865623
R171264,"Santa Fe",US,US,US:0,US-NM,-105.9384569,35.6876096
R170117,"Las Vegas",US,US,US:0,US-NV,-115.148516,36.1672559
R207359,"Los Angeles",US,US,US:0,US-CA,-118.242766,34.0536909
R112143,"San Jose",US,US,US:0,US-CA,-121.890591,37.3361663
R111968,"San Francisco",US,US,US:0,US-CA,-122.419906,37.7790262
W33112126,"Crescent City",US,US,US:0,US-CA,-124.201747,41.755948
R186456,"Brookings",US,US,US:0,US-OR,-124.28407,42.0523718
R8348295,"Tacoma",US,US,US:0,US-WA,-122.439874,47.2495798
R237385,"Seattle",US,US,US:0,US-WA,-122.330062,47.6038321
R1852574,"Vancouver",CA,CA,CA:0,CA-BC,-123.113952,49.2608724
R119231,"Honolulu",US,US,US-HI,US-HI,-157.855676,21.304547
R119167,"Lahaina",US,US,US-HI,US-HI,-156.674802363,20.88717735
R119174,"Hana",US,US,US-HI,US-HI,-155.990751995,20.7671042
R119169,"Kihei",US,US,US-HI,US-HI,-156.446399655,20.763395
R6329316,"San Miguel de Cozumel",MX,MX,MX,MX-ROO,-86.9435851,20.5014305
R13777970,"George Town",GB,KY,KY,KY:GC,-81.3807776,19.2953549
N290801759,"Ocho Rios",JM,JM,JM,JM,-77.1011092,18.4081045
R2388057,"Niagara Falls",CA,CA,CA:0,CA-ON,-79.0639039,43.1065603
N3290058843,"Plitvička Jezera",HR,HR,HR,HR:K,15.6227514,44.881262
R416887,"Gemeinde Dürnstein",AT,AT,AT,AT-3,15.5203111,48.3953879
N26559163,"Stege",DK,DK,DK,DK-85,12.2861344,54.9863794
R179258,"Muggia / Milje",IT,IT,IT:0,IT-36,13.7710497,45.5986173
R1675660,"Bled",SI,SI,SI,SI,14.1100595,46.3684202
R1675848,"Postojna",SI,SI,SI,SI,14.2139937,45.7752847
N4429692929,"Murano",IT,IT,IT:0,IT-34,12.3510992,45.4554971
W23086114,"Burano",IT,IT,IT:0,IT-34,12.417520774,45.4853766
W57402446,"Torcello",IT,IT,IT:0,IT-34,12.415284759,45.49714545
R2225657,"Treviso Airport",IT,IT,IT:0,IT-34,12.196684767,45.6490897
N61079295,"Neuhaus",AT,AT,AT,AT-3,16.0470853,47.9966722
N61102063,"Neusiedl am See",AT,AT,AT,AT-1,16.8425149,47.9491855
R534070,"Werfen",AT,AT,AT,AT-5,13.1888872,47.4757761
R2187906,"Đurići",ME,ME,ME,ME:R,18.6750048,42.4687248
N6819022381,"Shaolin",CN,CN,CN:0,CN-HA,112.9685991,34.4878236
R113463,"Budaörs",HU,HU,HU,HU1,18.9541818,47.4600185
R1553098,"Gdansk",PL,PL,PL,PL:P,18.6540231,54.3482908
R336075,"Warsaw",PL,PL,PL,PL:M,21.0067249,52.2319581
R1553144,"Sopot",PL,PL,PL,PL:P,18.5684902,54.4447922
R437041,"Znojmo",CZ,CZ,CZ,CZ:M,16.0489457,48.8554341
R437861,"České Budějovice",CZ,CZ,CZ,CZ:B,14.474285,48.9747357
R377733,"Bucharest",RO,RO,RO,RO:MU,26.1027202,44.4361414
R9846497,"Sibiu",RO,RO,RO,RO:T,24.1519202,45.7973912
R3277038,"Cluj-Napoca",RO,RO,RO,RO:T,23.5899542,46.769379
R10514936,"Bran",RO,RO,RO,RO:T,25.371489,45.5163111
R10367676,"Brasov",RO,RO,RO,RO:T,25.6102746,45.6523093
R186579,"Portland",US,US,US:0,US-OR,-122.674194,45.5202471
N150952317,"Grand Canyon Village",US,US,US:0,US-AZ,-112.14063,36.0545151
R1216827,"Sanibel",US,US,US:0,US-FL,-82.0223137,26.4489695
R1216772,"Marco Island",US,US,US:0,US-FL,-81.7156832,25.9363356
R118879,"Fort Myers",US,US,US:0,US-FL,-81.8723084,26.640628
R1216849,"Tampa",US,US,US:0,US-FL,-82.458444,27.9477595
R131885,"New Orleans",US,US,US:0,US-LA,-90.0782127,29.9759983
R5396194,"Washington D.C.",US,US,US:0,US-DC,-77.0365427,38.8950368
R117980,"Venice",US,US,US:0,US-FL,-82.4543597,27.0999188
W33263369,"Mount Pleasant",US,US,US:0,US-TX,-94.9694007,33.1570582
R114906,"Cooper",US,US,US:0,US-TX,-95.6877086,33.3721434
R6603588,"East Tawakoni",US,US,US:0,US-TX,-95.9291335,32.8842886
W33300204,"Freeport",US,US,US:0,US-TX,-95.3596617,28.9541368
R113600,"New Braunfels",US,US,US:0,US-TX,-98.1257348,29.7028266
R131887,"Grand Isle",US,US,US:0,US-LA,-89.9872942,29.2366172
R6586825,"Texas City",US,US,US:0,US,-94.9175485,29.396013
R6575893,"Plano",US,US,US:0,US-TX,-96.6925096,33.0136764
R6579857,"Frisco",US,US,US:0,US-TX,-96.8236116,33.1506744
R6605857,"McKinney",US,US,US:0,US-TX,-96.6154471,33.1976496
R115348,"Denison",US,US,US:0,US,-96.536658,33.7556593
R6579686,"Allen",US,US,US:0,US,-96.6705503,33.1031744
R253769,"Lewisville",US,US,US:0,US-TX,-96.994174,33.046233
R171229,"Alamogordo",US,US,US:0,US-NM,-105.941835,32.9046474
R237310,"Port Angeles",US,US,US:0,US-WA,-123.430741,48.118146
R237868,"Bellevue",US,US,US:0,US-WA,-122.192337,47.6144219
R237874,"Issaquah",US,US,US:0,US-WA,-122.0432974,47.5348778
R238084,"Oak Harbor",US,US,US:0,US-WA,-122.643224,48.2931559
R1524231,"West Vancouver",CA,CA,CA:0,CA-BC,-123.159479,49.3311208
R112134,"Milpitas",US,US,US:0,US-CA,-121.8989248,37.4332273
R11088707,"Half Moon Bay",US,US,US:0,US-CA,-122.428586,37.4635519
R1216778,"Naples",US,US,US:0,US-FL,-81.7942944,26.1421976
R1128379,"Orlando",US,US,US:0,US-FL,-81.3790304,28.5421109
R179005,"Brevard",US,US,US:0,US-NC,-82.7342919,35.2334472
R1804307,"Louisville",US,US,US:0,US-KY,-85.759407,38.2542376
R130780,"Brownsville",US,US,US:0,US-KY,-86.2677545,37.1925472
R198919,"Virgin",US,US,US:0,US-UT,-113.1878542,37.201902
R18122199,"Trinidad",US,US,US:0,US-CA,-124.143125,41.059291
N141043166,"Leggett",US,US,US:0,US-CA,-123.7141884,39.8657071
R123455,"Wilmette",US,US,US:0,US-IL,-87.7193768,42.0757315
R17526597,"Renhe",CN,CN,CN:0,CN-SD,122.3002928,36.891377
R17527329,"Gangwan",CN,CN,CN:0,CN-SD,122.4205953,36.8869407
R62629,"Passau",DE,DE,DE,DE-BY,13.4609744,48.5748229
R62411,"Regensburg",DE,DE,DE,DE-BY,12.0974869,49.0195333
R62428,"Munich",DE,DE,DE,DE-BY,11.5753822,48.1371079
